Time 1, Process 3, Started
Time 1, Process 3, Resumed
Time 2, Process 3, Paused
Time 2, Process 3, Resumed
Time 3, Process 3, Paused
Time 3, Process 3, Resumed
Time 4, Process 3, Paused
Time 4, Process 3, Resumed
Time 5, Process 3, Paused
Time 5, Process 3, Resumed
Time 6, Process 3, Paused
Time 6, Process 1, Started
Time 6, Process 1, Resumed
Time 8, Process 1, Paused
Time 8, Process 2, Started
Time 8, Process 2, Resumed
Time 11, Process 2, Paused
Time 11, Process 3, Resumed
Time 12, Process 3, Paused
Time 12, Process 3, Resumed
Time 13, Process 3, Paused
Time 13, Process 1, Resumed
Time 15, Process 1, Paused
Time 15, Process 3, Resumed
Time 16, Process 3, Paused
Time 16, Process 2, Resumed
Time 18, Process 2, Paused
Time 18, Process 3, Resumed
Time 19, Process 3, Paused
Time 19, Process 3, Resumed
Time 20, Process 3, Paused
Time 20, Process 1, Resumed
Time 22, Process 1, Paused
Time 22, Process 3, Resumed
Time 23, Process 3, Finished
Time 23, Process 2, Resumed
Time 25, Process 2, Paused
Time 25, Process 1, Resumed
Time 26, Process 1, Paused
Time 26, Process 1, Resumed
Time 27, Process 1, Paused
Time 27, Process 1, Resumed
Time 28, Process 1, Paused
Time 28, Process 1, Resumed
Time 29, Process 1, Paused
Time 29, Process 1, Resumed
Time 30, Process 1, Paused
Time 30, Process 2, Resumed
Time 32, Process 2, Paused
Time 32, Process 1, Resumed
Time 33, Process 1, Paused
Time 33, Process 1, Resumed
Time 34, Process 1, Paused
Time 34, Process 1, Resumed
Time 35, Process 1, Paused
Time 35, Process 1, Resumed
Time 36, Process 1, Paused
Time 36, Process 1, Resumed
Time 37, Process 1, Paused
Time 37, Process 2, Resumed
Time 39, Process 2, Paused
Time 39, Process 1, Resumed
Time 40, Process 1, Paused
Time 40, Process 1, Resumed
Time 41, Process 1, Paused
Time 41, Process 1, Resumed
Time 42, Process 1, Paused
Time 42, Process 1, Resumed
Time 43, Process 1, Paused
Time 43, Process 1, Resumed
Time 44, Process 1, Paused
Time 44, Process 2, Resumed
Time 45, Process 2, Paused
Time 45, Process 1, Resumed
Time 46, Process 1, Paused
Time 46, Process 1, Resumed
Time 47, Process 1, Paused
Time 47, Process 1, Resumed
Time 48, Process 1, Paused
Time 48, Process 1, Resumed
Time 49, Process 1, Finished
Time 49, Process 2, Resumed
Time 50, Process 2, Paused
Time 50, Process 2, Resumed
Time 51, Process 2, Paused
Time 51, Process 2, Resumed
Time 52, Process 2, Paused
Time 52, Process 2, Resumed
Time 53, Process 2, Paused
Time 53, Process 2, Resumed
Time 54, Process 2, Paused
Time 54, Process 2, Resumed
Time 55, Process 2, Paused
Time 55, Process 2, Resumed
Time 56, Process 2, Paused
Time 56, Process 2, Resumed
Time 57, Process 2, Paused
Time 57, Process 2, Resumed
Time 58, Process 2, Paused
Time 58, Process 2, Resumed
Time 59, Process 2, Paused
Time 59, Process 2, Resumed
Time 60, Process 2, Paused
Time 60, Process 2, Resumed
Time 61, Process 2, Paused
Time 61, Process 2, Resumed
Time 62, Process 2, Paused
Time 62, Process 2, Resumed
Time 63, Process 2, Paused
Time 63, Process 2, Resumed
Time 64, Process 2, Paused
Time 64, Process 2, Resumed
Time 65, Process 2, Paused
Time 65, Process 2, Resumed
Time 66, Process 2, Paused
Time 66, Process 2, Resumed
Time 67, Process 2, Finished
-------------------------
Waiting Times:
Process 1: 23
Process 2: 36
Process 3: 11
